klantnummer,klantnaam,contactpersoon,telefoon,email,kvk_nummer,straat,huisnummer,postcode,plaats,land,iban
C10181,AFAS Software B.V.,,033-4341800,info@afas.afas,31046821,Philipsstraat,9,3833 LC,Leusden,NL,NL92RABO0142294101
C10182,Accountantskantoor Jansen & Janssen B.V.,,0184-723415,info@jansenaccountant.afas,,Wilgenhof,24,3363 HR,Sliedrecht,NL,NL60RABO0333521447
C10183,Direct Express,,020-6674905,admin@directexpress.afas,,Nieuwzeelandweg,5,1045 AL,Amsterdam,NL,NL10RABO0152264752
C10184,Rijder Autogroep,,073-5512780,info@rijder.afas,,Heesakkerstraat,32,5271 CB,Sint Michielsgestel,NL,NL11ABNA0435487973
C10185,Bema Betonmortel B.V.,,038-4542859,info@bemabeton.afas,,Gasthuisdijk,23,8041 AE,Zwolle,NL,NL59ABNA0519500458
C10186,Van Kempen Afbouw b.v.,,020-6533022,info@vankempenafbouw.afas,,Theemsweg,80,1043 BC,Amsterdam,NL,NL07ABNA0554214784
C20085,De Luyere Pvba,,(+32) 3 277 49 29,henkdebruyn@luyere.afasbe,,Hooge Lei,23,2030,Antwerpen 3,BE,BE09785542759057
C20222,J.Cnossens,,,jack@cnossens.afasbe,,Rue de Liberté,45,1000,Bruxelles 1,BE,BE68539007547034
C20675,Music PeVe,,(+32) 50 63 01 00,a.roos@peve.afasbe,,Markthof,22,8300,Westkapelle,BE,BE72091012240116
C20922,Wesbaeke pvba,,(+32) 65 59 04 66,muzak@monsnet.afasbe,,Rue du 11 Novembre,54,7000,Mons,BE,BE44452144785345
C21250,Musique Toujours,,,Claude@musiquetoujours.afasfr,,Rue Napoleon,144,75017,Paris,FR,FR1420041010050500013M02606
C21741,Leon Drabuille sp,,,jacqueline@LDMusic.afasfr,,Route du Soleil,66,69003,Lyon,FR,FR7618206000103056966400117
C21823,S.A. Classique,,,jeanfavier@saclassique.afasfr,,Place Defour,2,31000,Toulouse,FR,FR7654284584562254216698619
C22020,Alsach Musik GmbH,,(+49) 211-43770,hansmaus@alsachmusic.afasde,,Buttingerstr.,29,40474,Düsseldorf,DE,DE22120700000065428547
C22458,Firma Innersbach,,,innersbach@deutschland.afasde,,Dorfplatz,1,48282,Emsdetten,DE,DE20100602370085476650
C22685,H.H.Heinrichs,,(+49) 711-900550,bohm@hotmail.afascom,,Saturnus,16,70629,Stuttgart,DE,DE89370400440532013000
C22910,Musik Willingen,,(+49) 89-38450,karl@willingen.afasde,,Königsallee,33,80336,München,DE,DE41120965975625875547
C23222,Welsley's Music Corner,,,fgy@welsley.com.afasgb,,Charlotte Street,56,W1T 2NS,London,GB,UK50891136008754288918
C23450,Ipswich Ltd,,(+44) 161-870-1600,administration@ipswich.com.afasgb,,Oakroad,1,M1 5LE,Manchester,GB,UK47890884255019932849
C23688,J.F.Peterson and Son,,(+44) 151-7084200,john.peterson@liverpool.com.afasgb,,Fleetstreet,44,L3 4FN,Liverpool,GB,UK10890336585472297749
C23901,W.Wandsom Ltd,,,willie@wandsom.net.afasgb,,Pall Mall Avenue,4,B1 2HQ,Birmingham,GB,UK67891495900154754338
C23955,Jessica Yorker,,,cdw@yorker.afascom,,Wistlestreet,66,AB21 9LN,Aberdeen,GB,UK76891555603247820552
C24200,G.T.Gibsson,,(+1) 646-459-6500,gerold@gibsson.afasus,,Street 54,66,NY 10019,New York,US,554284-65628-11
C24585,Music Entertainer,,(+1) 305-374-0000,information@me.afasus,,Long Beach,12,FL 33126,Miami,US,584521-54874-56
C24777,Thompson & Sons,,(+1) 213-624-0000,bernhardpee@thompson.afascom,,Prado Street,45,CA 90035,Los Angeles,US,665845-66251-63
C24851,U.N.C.L.E. Music,,(+1) 415-433-6600,Dean@unclemusic.afasus,,"Ave 66,",5,CA 94133,San Francisco,US,521441-56228-47
